name,salary,company,area,experience,degree,boss,description,url
Agent后端/全栈-元/天,200-400元/天,广州·海珠区·琶洲,广州,,,,"About US 有人是业内知名的大模型专家 有人是头部公司agent团队的技术负责人 有⼈是年产值⼏⼗亿的ceo，电商领域积累深厚 有人是软硬件通吃的后端专家 我们近期在探索从零设计agent框架要怎么做，已经从零开发了两个版本。 已经应用在团队的To C智能硬件产品，To B电商⾃动化投流产品上。 下一步会在团队的量化交易方向，科研方向，购物agent产品上做持续的探索和应用。 岗位职责 1 业务开发 包括但不限于，前后端开发，agent业务开发，工具开发，等各种杂活。 使用AI工具，又快又好的完成任务。 但同样的AI工具，不同的人，能有十倍的产出差距，我们工作中会重点观察你的独立/深度思考能力。 2 探索新时代的agent框架 我们从前年开始，从langchain到dify/n8n，再到openhands/suna，再到openclaw/claude code，等各种agent框架 主流agent框架团队都学习过，但都无法完美适配业务需求。 所以，我们在探索agent时代一个好的底层agent框架应该是怎么样的？ 来如何适配各种不同的业务需求。 技术能力： 1 不仅仅是能用AI编程工具，而是会用AI编程工具。 举个例子，AI也会犯错，并且犯的错误越来越高级，你要能识别并且纠正。 以及如何更高效的使用Agent来提升你的效率？ 2 熟悉开源框架（至少一个） 3 深度/独立思考能力，而不是一个简单的AI工具使用者 我们的面试很简单，就一个问题。 假如你要从零设计一个agent框架，你要如何设计？ 有兴趣来探讨这个问题的，随时欢迎来投递简历。 薪资福利 1 薪资范围：200-400（每天） 2 每周四天，周一到周日，早上还是晚上，工作时间自选，按时完成工作即可，我们很自由。 3 最好线下（广州），能力优秀接受远程，团队location分布很广，北广深，国外都有 4 定期会有大模型技术培训，鼓励大家多学习",https://www.zhipin.com/job_detail/00b2f46c655e8ad50nB-39S9GFNQ.html
ai agent-元/天,100-150元/天,广州·海珠区·江南大道,广州,,,,"岗位职责：   1. 负责搭建公司所需的AI Agent系统，确保各角色Agent能够自动运行并达成既定目标；   2. 重点完成海外红⼈建联相关Agent的开发与优化，同时根据需求搭建其他特定功能的Agent；   3. 熟练运⽤各⼤AI模型，设计并实现高效的Agent工作流，按要求完成系统集成与调试。   任职要求：   1. 熟悉主流AI模型及Agent技术原理，具备实际Agent搭建经验；   2. 具备⼯作流设计与实现能力，能独立完成从需求到部署的全流程开发；   3. 有良好的沟通与协作能力，能够准确理解并落实公司对各类Agent的功能要求。",https://www.zhipin.com/job_detail/41096e559397f22f0nB539q8EVRQ.html
AI Agent大客户销售 带教体系完善 25届可投-K,8-13K,广州·天河区·棠下,广州,,,,"【上市公司直招】珍岛集团2009年成立｜行业龙头｜SaaS软件领军品牌 【非金融】【⾮电销骚扰】帮企业做AI数字营销的正规军 【硬核福利】 纯⽆责底薪8000元【⽩纸黑字写进合同，不掺杂任何】 提成3000-10000元/单【新人⾸月必开单】 次年按实际收入定基数【入职即缴五险一金】 应届生入职一周即可上手【完整带薪培训】 疫情3年0拖欠【每月15号准时发薪】 每月至少5天自由调休【法定假期全休】 【薪资结构】 新人保障：首月综合1.2W+（底薪+开单奖） 成熟顾问：月均2-3W（TOP销售月入30W+） 团队月均人效2w以上 【工作模式】 电话筛选意向客户，邀约面谈成交（我们有80%+的行业最高签单率，一般第一次拜访就会成交） 【卖的产品】：企业刚需的AI营销工具（不是APP/收银系统！） 【为企业解决】：获客难题， 含数据分析和客户管理系统 【零压力入职】 无业绩绑架：转正标准透明 客户主动找：续费率108%，老客户转介绍多 带教到开单：总监级导师1对1陪跑谈单 【人性化作息】 9:00-18:30（午休1.5h）【弹性工作，高效完成即可】 月底冲刺日会稍微晚一些，最晚21点（每月≤5天） 无强制加班！做完客户跟进即可下班 【3个月晋升体系】 销售顾问→储备经理→总监（最快1年） 每季度涨薪通道：8000→10000→15000... 【我们要这样的你】 22-30岁，大专及以上 想踏实赚钱，认可销售价值 有电销/面销经验加分，小白可培养 现在投递，24小时内安排面试！~ （随简历附上期望薪资，我们直接谈钱不画饼）",https://www.zhipin.com/job_detail/bee2e5c360d8361e0nB_0tq9GVpU.html
ai应用工程师（25届应届生）-K·薪,6-10K·13薪,广州·天河区·体育中心,广州,,,,"本岗位为初中级AI应用工程师，熟悉Python/go语言编程，具有Al应用开发相关⼯作经验，有在运⽤AI技术解决实际问题的成功项⽬经验即可。 岗位职责： 1、探索大模型和各类AI工具与公司业务结合的场景⽅向和路径，负责基于AI的创新研究与探索及相关研发工作； 2、负责大模型的研究、部署和优化，包括微调、提示词工程以及私有知识沉淀； 3、与产品经理、业务团队紧密合作，深入理解业务需求，进行AI应用的需求分析；参与Al项目的规划、设计、开发和实施，确保AI应用项目成功落地； 4、持续跟踪AI领域的最新技术动态和行业趋势，推动团队技术更新与能力提升； 5、负责租赁电商全链路业务的AI场景应用，能够利用AI帮助业务提效，助力业务增长 6.有研究，不局限于了解open claw的，有自己安装实操并研发skill的优先~ 任职要求： 1、计算机科学、数学、人工智能、软件工程等相关专业的本科及以上学历。具有Al应用开发相关工作经验，有在运用AI技术解决实际问题的成功项目经验。 2、有知识问答、Agent、dify、Langchain、RAG、NL2API、NL2SQL、 ASR、TTS、Text2lmg、提示工程（Prompt Engineering）等技术的实战经验，了解其技术原理并能进行工程优化； 3、熟练掌握大模型技术原理，对主流大模型及开源大模型有深刻的理解，熟悉开源代码；有大模型训练经验、微调经验或训练语料库建设经验者优先； 4、熟悉Python/go语言编程，有扎实的编程基础；熟练掌握Python Sklearn/Tensorflow/PyTorch/Caffe等机器学习和深度学习框架中的一种或多种优先； 5、熟悉常见的第三方AI接口（如OpenAI、DeepSeekAI、百度AI、阿里云AI等）的使用和集成方法，能够快速对接并应用到实际业务中 6、熟悉Al应用产品的全流程搭建，包括需求分析、设计、开发、测试和上线等环节 【福利待遇】 六险一金：广州社保+广州住房公积金（入职即购）；  全勤奖：100~300元/月， 300元/月封顶； 工龄津贴：100~300元/月；  任期津贴：任主管级以上管理层达到期限者200~500元/月；  伙食补贴：20元/天，每月500元左右； 如遇特殊情况晚下班可打车报销+晚餐餐补+次日弹性上班 法定假期：与国家法定节假日同步假期，此外达到期限者享有带薪年假（5天）、带薪病假（5天）；  免费下午茶：周三丰盛下午茶（吃+喝）；  生日红包：生日当月发放100元现金红包；  节日礼品：重大节日当日发放精美礼品；  年度体检：每年统一安排一次体检，保障每位员工身体健康；  日常团建：团队年轻化，经常组织部门聚餐、健康运动、户外拓展、温馨年会、不定期旅游等，周三还有固定羽毛球等活动 【企业优势】 老字号的品牌平台，租赁行业独角兽企业，D轮拟上市（阿里巴巴蚂蚁金服生态投资企业、芝麻信用金信奖平台） 【工作时间】朝九晚六(9:00-12:30,14:00-18:00)",https://www.zhipin.com/job_detail/d776b8bb179be7090nZ73dS8FFFQ.html
AI Agent应用工程师-K,24-30K,广州·黄埔区·南岗,广州,,,,"岗位工作职责：     1.主导搭建研发配方、招聘及组织管理相关的AI工具平台；     2.训练迭代AI至⼯作适配；     3.⽤AI逐步替换传统⼈工。 任职技能要求：     1.本科以上学历，专业不限；     2.1年以上AI使用经验，例如养龙虾；     3.可以快速理解业务端需求并提出解决⽅案；     4.具备强势批判性思维，有良好的承压能力。",https://www.zhipin.com/job_detail/f8b93f7a02ba2d3c0nB82Nq5EVNZ.html
AI Agent 产品研发工程师（应届生）-K·薪,15-20K·14薪,广州·增城区·新塘广场,广州,,,,"岗位职责 1.参与 AI Agent 产品的功能研发，协助完成对话交互、任务流程、知识库、工具调用、工作台等模块。 2.结合真实业务场景，理解用户问题，协助将业务需求拆解为可实现的产品功能。 3.学习并使⽤⼤模型、Agent、RAG、Prompt、⼯作流等相关技术，参与产品原型和功能落地。 4.使用 Python 或其他合适工具完成接口开发、数据处理、模型调⽤、自动化脚本等工作。 5.参与前端页面和交互功能开发，包括对话页面、配置页面、业务操作页面等。 6.主动调研 AI Agent、大模型应用、AI 编程工具等新技术，并尝试应用到实际项目中。 7.协助排查和解决产品开发过程中的问题，包括模型回答效果、流程执行异常、接口联调、用户体验等。 8.参与项目复盘和文档沉淀，把探索过程、解决方案和经验总结下来。 任职要求 1.2026 届本科及以上学历，计算机、软件工程、人工智能、数据科学等相关专业优先。 2.对 AI Agent、大模型应用、智能助手、自动化工作流等方向有浓厚兴趣，愿意持续学习和实践。 3.具备基础编程能力，了解 Python、JavaScript、HTML、CSS 中的一种或多种。 4.有一定的前后端开发概念，做过课程项目、个人项目、实习项目或毕业设计即可。 5.具备较强的主动学习能力，能通过文档、搜索、AI 工具、开源项目等方式独立推进问题。 6.具备良好的问题拆解能力，遇到不确定问题时，能主动分析、尝试方案、验证结果。 7.责任心强，沟通清楚，愿意和产品、设计、研发、业务同学一起协作。 8.不排斥快速变化的技术环境，愿意边学边做，在真实项目中成长。 加分项 1.做过 AI 应用、聊天机器人、知识库、自动化工具、数据分析工具等相关项目。 2.了解或尝试过 Dify、Coze、LangChain、LlamaIndex、AutoGen、CrewAI 等工具或框架。 3.调用过大模型 API，或了解 Prompt、RAG、Agent、Function Calling / Tool Calling 等概念。 4.有独立完成小项目的经历，能清楚说明自己如何发现问题、设计方案、实现功能并优化结果。 5.有较强的产品意识，愿意从用户视角思考功能是否真的好用。 你可以经验不多，但要有好奇心和行动力。遇到新技术，你愿意先动手试；遇到问题，你不会只等别人给答案，而是会主动查资料、问问题、做验证、找解决方案。 我们希望你不仅想学习 AI，也愿意把 AI 用到真实业务里，和团队一起把 AI Agent 做成真正能解决问题、能被用户使用的产品。",https://www.zhipin.com/job_detail/8571307a88c9b8120nB63Nq1GVFU.html
Agent应用开发实习生-元/天,200-250元/天,广州·天河区·体育中心,广州,,,,"岗位职责: 1.参与基于大模型的Agent系统开发，包括任务规划、工具调用、记忆管理、反思与自修正机制等核⼼模块的设计与实现。 2.参与多Agent协作系统的搭建与调试，熟悉Openclaw、Hermes agent、Claude Code等主流⽅案。 3.负责PromptEngineering及RAG系统的构建与迭代优化。 4.集成外部⼯具能力(搜索、数据库、API、工作流等)，实现Agent的⾃动化决策与执行链路。 5.协助优化Agent的推理效率、调用成本及运行稳定性。 任职要求: 1.本科或硕士，计算机、人工智能等相关专业优先。 2.熟练掌握Linux操作系统及Python、TypeScript、Java编程(至少2门)，具备出色的多线程、高并发场景下的问题排查与性能调优能力，有实际项目经验。 3.了解LLM基本原理，有调用大模型APlI的实际经验(如OpenAl/Anthropic/Google等)。 4.了解RAG架构或向量数据库者优先。 5、我们更期待你具备:强大的自驱力、出色的问题拆解能力，以及持久的技术好奇心。",https://www.zhipin.com/job_detail/445155ee529dcab50nB92tW9EFVR.html
AI Agent应用实习生-元/天,200-250元/天,广州·海珠区·琶洲,广州,,,,"关于我们： 我们正在构建基于 AI Agent 的自动化系统，重点方向包括： - 内容与资讯的自动化生成 - 本地化数据的结构化处理与分析 - 数据驱动的信息产品探索 我们的⽬标不是单点应⽤，⽽是搭建可持续迭代的 AI 工作流与应用框架，推动 AI 在真实业务场景中的⼯程化落地。 岗位职责： - 设计并实现 AI Agent 工作流（数据获取 → 处理 → 推理 → 输出） - 将主流大模型能力工程化接入实际业务流程 - 构建可复用的 Prompt 体系与工具调用框架 - 搭建数据抓取与结构化处理流程（API / 爬虫 / 表格数据等） - 持续优化系统稳定性、生成质量与运行效率 - 参与其他 AI Agent 应用场景的设计与落地 任职要求： - 熟练使用主流大模型（如 ChatGPT、Claude 等），善于整合现有 AI 技术，而非重复造轮子 - 理解 Agent、RAG、工具调用等常见架构模式，对 AI 新技术保持持续关注，并具备快速落地能力 - 具备基础工程能力（Python 或 Node.js 任一），能独立构建自动化流程或小型系统 - 具备良好的结构化思维与问题拆解能力，具备较强的自驱力与学习能力 - 强调工程可用性、稳定性与可扩展性 加分项： - 有数据处理经验（SQL / Pandas 等） - 有 API 对接或爬虫经验 - 有实际 Agent 项目经验 - 有内容生成或数据分析相关实践经验 岗位特征： - 偏应用工程方向，而非算法研究岗位 - 参与从 0 到 1 搭建 AI Agent 基础设施 - 应用场景可持续扩展，成长空间明确 - 高自由度，强调工程能力与系统思维",https://www.zhipin.com/job_detail/d6460800722042670nVy09y9EVBS.html
AI Agent实习生-元/天,200-350元/天,广州·花都区·炭步,广州,,,,"公司简介 我们是一家致力于推动AI在制造型企业应用的科技公司，首先致⼒于通过先进的AI解决⽅案解决⼯业的需要，推动技术变革。同时公司也有咨询和培训业务板块。 公司网站：www.quanquality.com 实习岗位概述 主要⼯作是深入理解AI模型的逻辑，研究其在工业领域应用中的性能。这是一次深入AI工业界核心流程的绝佳机会。 主要职责 1、模型评估： 根据既定的测试用例和评估标准，对AI模型（如Deepseek、计算机视觉等）的输出结果进行校验与评估； 2、AI Agent训练： 选用合适的Agent路线及方式，进行训练； 3、优化建议： 在实习过程中，思考并尝试优化现有的流程、标准或工具，提出建设性意见。 任职要求 学历专业：在读，计算机科学、人工智能、数据科学、电子信息、机械工程或相关专业优先，其他专业也可投递。 核心能力：对人工智能、机器学习有浓厚兴趣和一定了解。拥有良好的沟通能力和团队协作精神。 个人特质：具备主动学习和解决问题的能力，有好奇心和批判性思维。 通过实习将收获 1、深入行业的实践经验： 零距离接触AI产品的工业化流程，理解AI Agent从研发到落地的全生命周期。 2、宝贵的专业技能： 系统掌握AI的方法论和实践，提升分析、问题诊断和跨团队沟通能力。 3、具有竞争力的实习津贴和友好的工作氛围。 我们期待充满热情和潜力的同学加入团队进行实习，实习生将有机会获得全职工作的录用通知，共同塑造更智能的未来！",https://www.zhipin.com/job_detail/10f207cae14f19640nB62t-5EFBR.html
Agent开发实习生-元/天,150-180元/天,广州·海珠区·凤阳,广州,,,,"一、岗位职责 1、协助资深工程师进行 Agent、Prompt、Memory、上下文策略的优化⼯作，学习并参与实际策略调整。 2、在指导下，推进⼯具调⽤、策略切换、记忆检索等能力的工程化实现，熟悉⼯程化流程。 3、参与开发具备规划、执行、反馈闭环的自主 Agent，了解从设计到开发的完整流程。 4、参与项目的需求分析，研发和优化智能体的MCP协议等，使其能够高效、准确地调用内部和外部工具，拓展智能体的应用边界 5、持续研究ai应用、agent、workflow、模型等，探索和优化模型的能力边界，推动模型在复杂任务上的表现 二、要求 1、计算机、数学相关专业，27届本科及以上在读学生 2、熟练掌握Python或go后端编程语言，具备良好的编码习惯（其他语言勿扰！) 3、熟悉 LangGraph/LangChain 框架，有基于其设计复杂循环逻辑、状态持久化及多 Agent 协同系统架构经验 4、具备 LLM 应用开发经验，了解 Prompt Engineering 5、了解大模型工程，熟悉 LoRA/QLoRA 微调 6、有相关实习经验优先 三、加分项 1、对AI技术充满热情，熟悉当前AI技术趋势及其在社交领域的应用 2、具备创业心态，愿意不断探索和学习",https://www.zhipin.com/job_detail/df43bed702736ee50nd-0tW8EVNW.html
