name,salary,company,area,experience,degree,boss,description,url
大模型Agent业务开发实习生-剪映-元/天,500-550元/天,深圳·南山区·科技园,,,,,"【base 深圳/广州】 职位描述 日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个⽉及以上的项⽬实践机会。 团队介绍：剪映数据与智能团队旨在通过AI技术赋能剪映系产品，构建强⼤的算法能力壁垒。作为剪映系内的算法团队，负责推动整个业务在算法上的迭代与创新，为剪映、CapCut、即梦dreamina、Pippit、醒图等产品提供智能化支持。 1、参与⼤模型智能体（Agent）业务场景的落地开发，基于Python+LangChain框架完成Agent核心逻辑的编码实现，包括任务拆解、工具调用、多轮对话流程设计等核心模块； 2、负责Prompt Engineering（提示词工程）的设计、优化与迭代，结合具体业务场景调优大模型交互逻辑，提升Agent 的任务执行准确率、流程闭环率及用户体验； 3、参与Agent功能模块的单元测试、集成测试与问题排查，编写调试脚本，保障代码健壮性和业务流程稳定性，输出问题排查报告。 职位要求 1、本科及以上学历在读，计算机相关专业优先； 2、Python编程能力突出，具备扎实的编程基础，熟练掌握Python语法、面向对象编程； 3、熟悉LangChain框架核心用法，了解主流大模型（GPT系列、文心一言、通义千问、智谱清言等）的API调用方式，有大模型API集成、参数调优经验优先； 4、具备基础的工程化思维，熟悉Git版本控制工具，注重代码可读性和规范性； 5、每周出勤至少4天，可实习4个月以上。",https://www.zhipin.com/job_detail/caba977649660f240nV43tS8GFBR.html
AI Agent 开发工程师-K,8-13K,深圳·龙岗区·坂田,,,,,"目前只接受线下面试！！！ 核心职责： •搭建业务专属Agent：选品分析、差评预警、智能备货、自动上架、TikTok爆款分析等 •设计多Agent协作流程，编排""抓热点→⽣⽂案→⾃动上架""等全链路自动化 •编写高质量Prompt，持续优化Agent输出精准度与稳定性 •与运营、供应链、⼈事、财务各部门对接需求，快速迭代Agent •建立Agent使用SOP文档，为运营主管提供培训素材 •持续测试新AI工具与模型，评估业务可用性并输出报告 任职要求： •本科及以上，计算机/AI相关专业；有优秀项目作品可放宽学历 •有至少1个完整Agent或自动化工作流项目（面试需展示） •熟悉Python或具备API调用能力 •有Dify、Coze、n8n实际搭建经验者优先 •理解Prompt Engineering与RAG基础概念 •可接受有扎实个人项目的优秀应届生",https://www.zhipin.com/job_detail/cf37e4ecb8fb4df00nZ53Nm5F1FT.html
Agent应用开发-元/天,150-200元/天,深圳·南山区·科技园,,,,,"打招呼请附带github地址，与模型token使用量截图。 岗位职责：   1. 参与网站、小程序、H5、App、管理后台等项目的前后端开发与课程交付 2. 针对公司内部和外部客户 基于hermes openclaw等通⽤agent框架，完成 AI OA定制开发项⽬。 3. 使⽤ AI 编程工具辅助开发、调试、重构和生成⽂档；   4. 参与项目从 0 到 1 搭建，包括技术选型、目录结构、接口设计、数据库设计和部署配置；   任职要求：   1. 可连续实习 6 个月及以上有转正名额，能稳定投入；  2. 熟悉主流 AI 模型，包括 DeepSeek、豆包、ChatGPT、Claude、Gemini 等；   3. 熟悉 AI 编程和 agent 工具，包括 Codex、Claude Code等加速开发进程。 4.熟悉 OpenClaw、Hermes 等通用 agent 框架的workflow流程拆解 workflow实现，状态机，Fushion Callding，rag，Skills等应用层开发技术。 45.熟悉 AI 全栈网站开发，能独立完成前端、后端、数据库和部署的基本搭建；   6. 有基础编码能力，至少熟悉一种前端框架和一种后端框架；   7. 有良好的项目架构能力，能把需求拆成页面、接口、数据表、服务逻辑和测试验证；   加分项：   - 有网站、小程序、App、管理后台、SaaS、CRM、工具类产品开发经验；   - 熟悉 Vue、React、Next.js、uni-app、Taro、微信小程序、Node.js、Flask、FastAPI 等任一技术栈；   - 熟悉 Git、数据库、接口文档、部署、云服务或 CI/CD；   - 做过 AI 应用、聊天机器人、自动化工具、模型 API 接入或 agent workflow；   - 有真实线上项目或完整 GitHub 项目。 - 熟悉skills、subagent、workflow设计等基础agent开发。",https://www.zhipin.com/job_detail/aaa2f79fa10191620nB83NS1EVFQ.html
agent-K,8-13K,深圳·南山区·科技园,,,,,"1. **AI 应用架构设计**      - 负责基于业务场景的人工智能系统架构整体设计，包括模型服务化、数据流、算法模块与前后端接口的集成方案。      - 制定技术路线图，评估不同AI技术（如LLM、CV、NLP、推荐系统）在应⽤中的可⾏性与扩展性。 2. **AI 应⽤开发与落地**      - 负责AI功能从原型到生产环境的实现，如智能客服、文本⽣成、语音识别、图像分析或RPA自动化等。      - 主导模型部署、微服务化、API开发与性能优化，确保AI模块稳定、高效地与业务系统协同。      - 与产品经理、算法工程师及前端/后端开发团队紧密合作，推动AI技术在业务流程中的应用落地。 3. **数据与模型管理**      - 参与数据采集、清洗、标注及管线建设，保证模型训练所需数据的质量与安全性。      - 设计模型版本管理机制，建立持续训练和模型评估体系，确保AI输出的准确度和可解释性。 4. **系统性能和可观测性**      - 负责AI服务的性能监控、日志分析、模型推理延迟优化等工作。      - 构建高可用、可扩展的AI基础架构，确保服务在高并发场景下的稳定运行。 5. **技术探索与创新**      - 跟踪AI领域最新技术（如多模态模型、生成式AI、Agent框架等），探索其在企业应用中的价值。      - 参与内部AI工具链或平台的建设，提高团队AI开发与部署的效率。",https://www.zhipin.com/job_detail/4ab387f0414619170nB429W4FlNW.html
AI agent应用工程师实习生-元/天,250-350元/天,深圳·罗湖区·东门,,,,,"你需要做： 1、 负责大众点评、美团外卖、抖音本地、高德、京东、淘闪等核心本地平台的运营数据收集与整理。 2、参与飞书智能伙伴的迭代（意图路由、多Agent协作、记忆级联更新） 3、 本地⽣活平台⾃动化投放agent的搭建，构造SFT/DPO训练数据，把业务经验变成AI能⼒。 4、用类karpathy llm wiki方法，⽣成数字运营部门运营知识，管理知识，治理知识。设计RAG知识检索与评估体系。 5、配合外部ai顾问落地项目，代表集团一商一群项目参与飞书消费行业效率先锋决赛。 我们期待您： 1、 本科及以上学历，在校生均可投递，数字媒体、计算机相关专业优先，实习期3个月起，每周不少于4天。 2、扎实的Python工程能力，能设计CLI/Tool Calling工具 3、理解Agent核心范式（ReAct/Reflection/Multi-Agent） 4、有RAG或记忆系统实战经验（Mem0/Milvus/Pgvector） 5、了解LLM微调（SFT/DPO）或有数据工程经验 6、对""让AI真正解决业务问题""有热情 加分项：独立开发过Agent框架/有飞书Bot集成经验/会Golang",https://www.zhipin.com/job_detail/e0dbb09bc6a6f3c50nB_2dq5FlBY.html
AI Agent应用实习生-元/天,8-13K,深圳·宝安区·西乡,,,,,"1. **AI 应用架构设计**      - 负责基于业务场景的人工智能系统架构整体设计，包括模型服务化、数据流、算法模块与前后端接口的集成方案。      - 制定技术路线图，评估不同AI技术（如LLM、CV、NLP、推荐系统）在应⽤中的可⾏性与扩展性。 2. **AI 应⽤开发与落地**      - 负责AI功能从原型到生产环境的实现，如智能客服、文本⽣成、语音识别、图像分析或RPA自动化等。      - 主导模型部署、微服务化、API开发与性能优化，确保AI模块稳定、高效地与业务系统协同。      - 与产品经理、算法工程师及前端/后端开发团队紧密合作，推动AI技术在业务流程中的应用落地。 3. **数据与模型管理**      - 参与数据采集、清洗、标注及管线建设，保证模型训练所需数据的质量与安全性。      - 设计模型版本管理机制，建立持续训练和模型评估体系，确保AI输出的准确度和可解释性。 4. **系统性能和可观测性**      - 负责AI服务的性能监控、日志分析、模型推理延迟优化等工作。      - 构建高可用、可扩展的AI基础架构，确保服务在高并发场景下的稳定运行。 5. **技术探索与创新**      - 跟踪AI领域最新技术（如多模态模型、生成式AI、Agent框架等），探索其在企业应用中的价值。      - 参与内部AI工具链或平台的建设，提高团队AI开发与部署的效率。",https://www.zhipin.com/job_detail/958f68f56e6816970nd42N6-GFFY.html
AI Agent实习生｜外企 双休-元/天,200-400元/天,深圳·南山区·科技园,,,,,"About US 有人是业内知名的大模型专家 有人是头部公司agent团队的技术负责人 有⼈是年产值⼏⼗亿的ceo，电商领域积累深厚 有人是软硬件通吃的后端专家 我们近期在探索从零设计agent框架要怎么做，已经从零开发了两个版本。 已经应用在团队的To C智能硬件产品，To B电商⾃动化投流产品上。 下一步会在团队的量化交易方向，科研方向，购物agent产品上做持续的探索和应用。 岗位职责 1 业务开发 包括但不限于，前后端开发，agent业务开发，工具开发，等各种杂活。 使用AI工具，又快又好的完成任务。 但同样的AI工具，不同的人，能有十倍的产出差距，我们工作中会重点观察你的独立/深度思考能力。 2 探索新时代的agent框架 我们从前年开始，从langchain到dify/n8n，再到openhands/suna，再到openclaw/claude code，等各种agent框架 主流agent框架团队都学习过，但都无法完美适配业务需求。 所以，我们在探索agent时代一个好的底层agent框架应该是怎么样的？ 来如何适配各种不同的业务需求。 技术能力： 1 不仅仅是能用AI编程工具，而是会用AI编程工具。 举个例子，AI也会犯错，并且犯的错误越来越高级，你要能识别并且纠正。 以及如何更高效的使用Agent来提升你的效率？ 2 熟悉开源框架（至少一个） 3 深度/独立思考能力，而不是一个简单的AI工具使用者 我们的面试很简单，就一个问题。 假如你要从零设计一个agent框架，你要如何设计？ 有兴趣来探讨这个问题的，随时欢迎来投递简历。 薪资福利 1 薪资范围：200-400（每天） 2 每周四天，周一到周日，早上还是晚上，工作时间自选，按时完成工作即可，我们很自由。 3 最好线下（广州），能力优秀接受远程，团队location分布很广，北广深，国外都有 4 定期会有大模型技术培训，鼓励大家多学习",https://www.zhipin.com/job_detail/b299f488916e453e0nB_2dS1E1JT.html
Ai agent 开发工程师-K,26-45K,深圳·南山区·科技园,,,,,"后端开发工程师（AI Agent方向）后端工程师 职位描述 【关于这个角色】 我们正在寻找信奉“Agent Native”理念的后端⼯程师。与传统的CRUD开发不同，你将负责设计并构建能够⾃主规划、记忆、调⽤工具并与环境交互的智能体系统。 我们不需要你把AI当做一个偶尔调⽤的API，而是要求你以状态机、图计算（Graph）和自主决策为核心范式来重构后端逻辑。在这里，你写的每一行代码都可能决定一个Agent如何理解复杂任务并拆解执行。 岗位职责 核心框架开发：设计并实现高可扩展的AI Agent执行引擎，支持ReAct、Plan-and-Execute、多智能体协作等多种推理模式。 工具与生态集成：为Agent开发“手和脚”——通过Function Calling/Tool Use机制，将内部API、第三方服务和数据库无缝封装为Agent可调用的标准化工具。 记忆系统构建：设计混合记忆架构，包括基于向量数据库的长期记忆（Long-term Memory）与基于Redis的短期工作记忆（Working Memory）。 流程编排：使用LangGraph、DSPy或自研DSL（领域特定语言）编排复杂的Agent工作流，处理循环、重试、回溯和人机协作（Human-in-the-loop）。 性能优化：优化LLM调用的延迟与成本（缓存、Prompt压缩、模型路由），并保证异步任务队列在高并发下的稳定性。 任职要求 硬性门槛（必须满足） 学历与经验：计算机相关专业，25届/24届应届毕业生，或拥有1-3年后端开发经验。",https://www.zhipin.com/job_detail/cf575705cfdd6ac70nBz0tS8FlRS.html
Agent开发工程师-K,50-80K,深圳,,,,,"岗位职责： 1.参与MultiAgent架构设计和落地，探索上下文工程优秀实践； 2.参与Agent记忆系统的设计和落地，持续推动解决复杂技术难题； 3.通过技术方案的制定和优化，持续推动优秀实践落地，提升业务效果。 任职要求： 1.本科及以上学历，具备计算机科学、人⼯智能或相关专业背景； 2.2年以上软件⼯程经验，1年以上AI Agent系统研发经验，精通Python； 3.深⼊掌握Agent架构核心组件设计原理和调优方案，包含Prompt Engineering,Function Caling,RAG，长短期记忆等； 4.具备批判性思维，能将复杂问题转化为简洁、⾼效的实现方案，热爱技术，拥抱开源； 5.加分项:参与过企业级Agent平台设计和实现;有Promp调优、RAG系统调优、上下文压缩等优化经验;有金融、电商、客服等垂直领域的Agent应用落地经验优先。",https://www.zhipin.com/job_detail/4c41fcc58cdc53720nBy0tm0EVpR.html
AI Agent开发工程师-K·薪,20-40K·14薪,深圳·南山区·蛇口,,,,,"### 岗位职责 1. **Agent框架研发与落地**：基于Claude Code/Agent SDK、OpenClaw（龙虾）、OpenHarness等前沿Agent框架，构建面向业务场景的智能体系统，负责从架构设计到工程落地的全流程； 2. **Agent Harness工程化**：设计并实现Agent运行时控制层（Harness），包括⼯具调⽤编排、上下⽂管理与自动压缩、多轮会话状态持久化、失败重试与兜底机制，确保Agent在长周期复杂任务中的稳定性与可靠性； 3. **多智能体协作系统**：基于龙虾框架（OpenClaw）的Gateway-Agent-Channels三层架构，构建多智能体协作系统，实现任务拆解、Agent调度、子任务依赖管理与跨渠道（飞书/钉钉/微信等）交互； 4. **Skill⽣态与MCP集成**：设计可复用的Skill技能系统，深度集成MCP（Model Context Protocol）协议，实现模型与工具的标准化交互，打通异构系统间的数据链路； 5. **前沿技术追踪与预研**：持续跟进Agent Harness Engineering、ReAct/Reflexion/Tree of Thoughts等Agent推理范式、RAG演进、多模态Agent等前沿方向，推动技术成果转化为生产级能力。 ### 任职要求 1. 985/211本科及以上学历，计算机、人工智能、软件工程等相关专业； 2. 2年及以上AI Agent或相关系统开发经验，有智能体框架（Claude Code/Agent SDK、OpenClaw/龙虾、LangChain/LangGraph、CrewAI、AutoGPT等）的实际项目落地经验； 3. 精通Python/TypeScript，深入理解Agent核心机制——规划（Planning）、记忆（Memory）、工具调用（Function Calling/Tool Use）、多智能体编排（Multi-Agent Orchestration）； 4. 熟悉Harness Engineering核心理念，理解""Agent = Model + Harness""范式，有上下文管理、会话压缩、权限控制、钩子机制等Agent运行时基础设施的实际开发经验； 5. 熟悉MCP协议及Skill技能系统设计，有OpenClaw/龙虾框架部署与二次开发经验者优先； 6. 具备优秀的业务理解力，能将业务需求拆解为Agent可执行的工作流，主动推动Agent技术赋能业务场景。 ### 加分项 - 有Claude Code/Agent SDK项目经验，熟悉其子Agent架构、Skill/Plugin体系、Hooks机制者优先 - 有OpenClaw（龙虾）框架部署与定制经验，熟悉Lobster Loop执行闭环、三级记忆系统者优先 - 有Agent Harness开源项目（OpenHarness、DeepAgents等）贡献或深度使用经验者优先 - 在Agent方向发表过高质量论文/专利，或有开源项目影响力者优先 - 有互联网领域Agent落地经验者优先",https://www.zhipin.com/job_detail/457ddda877fc07ea0nB82t-8FFZW.html
Agent 开发实习生-元/天,300-360元/天,深圳·南山区·科技园,,,,,"岗位亮点 这是一个面向 AI Agent 应用和工作流构建的实习岗位。你将参与极核 Agent Runtime等⽅向，把 AI 从“会聊天”推进到“能理解上下⽂并完成任务”。 如果你喜欢研究 LLM、Agent、Prompt、⼯具调用、自动化⼯作流，并希望把这些能力真正落到产品中，这个岗位会非常适合你。 岗位职责 参与 AI Agent 工作流设计，包括任务拆解、工具调用、上下文注入、结果校验等。 协助构建和优化 Agent Prompt、System Prompt、技能说明、工具调用策略和评测样例。 参与 Agent 场景的开发与测试。 协助整理 Agent 使用过程中出现的问题，包括幻觉、工具调用失败、上下文不足、输出不稳定等。 参与 Agent 评测流程建设，设计测试任务、记录结果、分析失败原因并提出优化建议。 与工程团队协作，将 Agent 能力接入真实产品流程。 任职要求 对大语言模型、AI Agent、Prompt Engineering、RAG、工作流自动化有浓厚兴趣。 能熟练使用至少一种编程语言，如 Python / JavaScript / TypeScript。 具备良好的逻辑表达、文档整理和问题分析能力。 能快速学习新工具，愿意持续试错和迭代。 对 AI 产品体验敏感，能判断一个 Agent 输出是否真正有用。 有较强责任心，能够把实验结果整理成可复用的方法和文档。 加分项 使用过 Claude Code、Cursor、Codex、OpenAI API、LangChain、LlamaIndex、Dify、Coze、n8n 等工具。 做过 AI Agent、RAG 知识库、自动化脚本、浏览器插件、工作流机器人等项目。 熟悉向量数据库、文档解析、函数调用、工具调用、评测集构建。 有写作、产品分析、知识管理、信息整理能力。 对 Personal AI、第二大脑、知识管理、效率工具有兴趣。 你将获得 参与真实 AI Agent 产品落地，而不是只做 Prompt Demo。 接触 Context Engine、知识星图、AI 日记、Agent Runtime 等核心方向。 快速理解 AI Native 产品的工程化和产品化过程。 有机会成为公司 Agent 产品方向的早期核心成员。",https://www.zhipin.com/job_detail/ccab5d2a51745d400nF629S9EFBY.html
Agent工程师-K,30-50K,深圳,,,,,"1.核⼼配合算法⼯程师，聚焦agent链路业务落地，完成AI模型（含agent相关模型）的⼯程化落地，包括模型部署、性能优化、线上监控及迭代维护，确保算法⽅案（尤其是agent链路相关）⾼效转化为可落地的业务产品。  2.与算法同学紧密协作，深度理解agent链路的算法逻辑、业务场景及落地需求，将agent相关模型集成到业务系统中，解决agent链路落地过程中的⼯程技术难题（如多模型协同、上下⽂管理、数据接⼝适 配、模型推理效率、并发处理等）。  3.负责AI相关⼯程模块（重点覆盖agent链路）的设计、开发、测试与上线，包括agent数据处理流⽔线、模型服务封装、接⼝开发、链路串联等，保障agent相关系统的稳定性、⾼可⽤性和可扩展性。  4.参与agent相关业务需求拆解，结合AI技术特性及agent链路落地经验，提供⼯程层⾯的落地建议，协同算法、产品、测试等团队，推动agent相关AI项⽬从需求到上线的全流程闭环。  5.关注⾏业前沿AI⼯程化技术及agent链路落地相关⽅案（如模型部署⼯具、推理框架、容器化⽅案、 agent框架等），引⼊合适的技术⽅案，持续优化现有agent链路系统的性能和开发效率。 6.负责相关技术⽂档的编写与维护，包括agent链路相关接⼝⽂档、部署⽂档、测试⽂档等，确保团队协作的⾼效性和知识沉淀。  任职要求 1.本科及以上学历，计算机、电⼦信息、软件⼯程、⼈⼯智能等相关专业，3-5年及以上AI研发/⼯程化落地相关⼯作经验，有agent链路相关落地经验者优先。  2.熟练掌握⾄少⼀⻔编程语⾔（Python/Java/Golang优先），具备扎实的⼯程开发基础，熟悉常⽤的数据结构和算法。  3.了解常⻅AI模型（如深度学习、机器学习模型）及agent相关核⼼原理，熟悉模型部署流程，有模型⼯程化落地（如TensorFlow/PyTorch模型部署、推理优化）经验，接触过agent链路落地者优先。  4.熟悉常⽤的⼯程化⼯具和框架，如Docker、K8s、Git、CI/CD流程，能独⽴完成⼯程模块（含agent相关）的开发、部署和维护。  5.具备良好的沟通协作能⼒，能快速理解算法需求、agent链路业务逻辑，⾼效配合算法团队推进agent 相关项⽬落地。  加分项  1.有⼤规模AI模型部署、推理性能优化、⾼并发场景下AI服务开发经验，且有agent链路端到端落地经验者优先。  2.熟悉agent链路数据处理流程，能配合算法同学完成agent相关数据清洗、特征⼯程、上下⽂管理等辅助⼯作者优先。  3.参与过完整的AI项⽬（尤其是agent相关）从研发到上线的全流程，有明确的agent链路业务落地案例者优先。  4.具备良好的问题排查能⼒和⾃主学习能⼒，能快速应对agent链路落地过程中的突发⼯程问题，关注 agent领域技术迭代。",https://www.zhipin.com/job_detail/da6fb233247e8e000nB-2dq_FVVX.html
外企-AI工程师（Agent Saas系统方向）-K,45-75K,深圳·福田区·香蜜湖,,,,,"从0到1构建⾯向⼀线科学家的AI Agent科研⼯作台 你将负责 - 定义产品边界，核心用户，MVP和路线图 - 把控记忆，RAG等Agent核⼼系统落地 - 推动算法，全栈，评测和设计的跨职能协作 我们希望你 - 5年以上AI应用/Saas开发经验 - 担任过Saas产品核心负责人，从0到1构建产品经历 - 熟悉 LLM Agent，RAG，workflow编排和memory技术",https://www.zhipin.com/job_detail/f2bb634cab9b27f00nBz09S_EVpX.html
