name,salary,company,area,experience,degree,boss,description,url
AI Agent解决方案分析师（企业赋能）-K,8-12K,珠海·香洲区·南屏,珠海,,,,"1. 业务诊断：调研电商、制造业等行业商业模式，剖析企业运营、营销、内容、管理等环节痛点，定位可由AI Agent优化的落地场景。 2. 方案输出：对接B端客户需求，独立设计标准化/私有化AI Agent解决方案，涵盖流程优化、功能配置、成本与ROI测算，输出项⽬建议书、落地⽅案。 3. 需求转化：将客户商业业务需求拆解为结构化技术需求，同步研发团队，跟进项⽬开发、交付、上线全流程，协调解决落地问题。 4. 市场沉淀：追踪AI Agent行业竞品与前沿技术，复盘项目案例，沉淀各⾏业标准化解决方案，助力产品迭代与业务拓展。 任职要求 1. 本科及以上学历，1-3年ToB商业分析、数字化解决方案、AIGC相关工作经验；有AI智能体项目经验优先。 2. 理解AI Agent工作原理、应用边界，熟悉主流大模型，能够结合企业业务设计可落地的智能化方案。 3. 具备优秀的商业洞察能力，擅长拆解企业业务链路、分析经营痛点，熟练撰写商务方案与分析文档。 4. 擅长商务沟通，可直接对接企业管理层，完成方案宣讲、答疑及商务对接工作。 加分项 1. 熟悉工作流编排、提示词工程、AI视频/自动化办公类智能体； 2. 拥有中小企业、电商、文化传媒等行业客户资源； 3. 有SaaS产品、数字化转型项目交付经验。 薪资福利 1. 薪酬：底薪+项目高提成+季度/年终奖金，薪资面议； 2. 福利：五险、弹性双休、法定假期、带薪年假。 3. 晋升：分析师→高级方案专家→项目负责人→业务总监，参与公司核心业务决策。 岗位优势 AI Agent蓝海黄金赛道，依托自有技术团队，方案落地快、回款效率高；岗位兼顾商业、技术、商务多维度成长，权限充足，无繁杂内勤工作，携手团队打造行业标杆级企业智能化赋能服务。",https://www.zhipin.com/job_detail/ae8c0438fee01f590nF62d65EltQ.html
AI Agent 引擎开发 (珠海)-K,10-15K,珠海·香洲区·唐家湾,珠海,,,,"我们正在寻找对前沿技术充满热情、具备创新思维的全栈开发者。您将有机会参与到大型企业级Agent平台的建设中，利用您扎实的全栈能力，将AI Agent的创新理念落地为实际可用的产品和功能。 任职要求 ，必备项： 1.  技术热情与探索精神：对AI技术充满好奇，明确希望转型或已在 agent 开发领域。 2.  沟通与协作能⼒：具备良好的沟通表达能⼒、共情能⼒及较高情商，能够有效进行团队协作。 3.  编程思维： 具备扎实的编程思维，思维活跃，认知开放，不固化于传统模式。 4.扎实的全栈开发能⼒：掌握TypeScript/JavaScript技术栈，具备扎实的工程经验。 加分项 1. 创新编程思维： 具备抛开古法编程之外的编程思维、工程思维、系统思维。 2. Harness设计理念：理解或实践过前沿Harness设计思想。 3.  Agent项目源码阅读经验：阅读过Langchain、Coaude Code、Openclaw等Agent项目源码。 工作职责： 1. agent 相关模块构建： 负责公司Agent引擎中独立模块的构建。 2.  agent 上层封装与对接：负责Agent引擎的上层封装与系统对接。 3. 核心功能开发： 负责Agent Skill构建、Agent Tools构建、数据处理等工作。 薪金：面议",https://www.zhipin.com/job_detail/f32a2bc51a9d12060ndz09W_FFdR.html
AI Agent实习生（珠海）-元/天,150-250元/天,珠海·香洲区·金鼎,珠海,,,,"必备项：成功搭建过agent，openclaw、hermes或者其他智能体 核心职责 1. 工艺知识库与文献智能系统建设 （1）搭建公司私有化工艺知识库，整合 SOP、设备参数、DOE 数据、异常案例、⼯艺报告等内部资料； （2）开发新⼯艺⽂献自动搜索与总结系统（曝光、显影、刻蚀、压印、镀膜等方向）； （3）实现知识⾃动分类、向量检索、问答调用与持续更新机制。 2. 工艺自动检查系统开发 （1）建立跨部门信息传递检查系统（设计 → 曝光 → 刻蚀 → 前道工艺），自动识别参数遗漏、版本错误、规格不一致等问题； （2）开发版图检查与工艺风险预警模块，降低母版制作失误率； （3）建立工艺 recipe 自动审核机制，提高流转准确性。 3. 工艺数据库与建模系统建设 （1）搭建胶缩数据库、曝光数据库、刻蚀数据库、膜层数据库等核心工艺数据平台； （2）基于历史数据建立关键参数预测模型（CD 偏差、刻蚀深度、膜厚均匀性、良率趋势等）； （3）支持 DOE 优化与参数推荐。 4. Trouble-shooting 智能体开发 （1）建立异常案例库，沉淀良率问题、设备问题、缺陷模式与解决方案； （2）开发故障诊断 Agent，实现输入现象后自动推理可能原因与建议动作； （3）支持前道清洗、匀胶、压印、镀膜、刻蚀等工艺段快速排障。 5. 工艺应用界面开发 （1）开发简易 Web 平台，支持工程师使用知识问答、异常诊断、参数查询、任务提交等功能； （2）优化交互体验，推动 AI 工具在产线和研发现场落地。 任职要求 1.必备要求 （1）学历与专业 硕士及以上在读，可连续实习 6 个月以上；计算机、人工智能、自动化、软件工程、电子信息、数据科学等相关专业优先。 编程能力 （2）熟练掌握 Python，具备良好代码规范与工程能力；能够独立完成数据处理、接口开发与模型部署。 2.AI 技术基础 （1）熟悉以下至少两个方向： LLM 应用开发（Agent / RAG / Function Calling） 向量数据库（Milvus / FAISS / Chroma） LangChain / OpenAI SDK / 开源 Agent 框架 机器学习建模（XGBoost、随机森林、回归分析等） 3.沟通与执行力 能快速理解工艺团队需求，与工程师高效协作，具备较强落地意识。 4.优先要求 （1）有制造业 / 半导体 / 面板 / 光学行业 AI 项目经验； （2）有私有化大模型部署经验（GLM、Qwen、DeepSeek、Llama 等）； （3）熟悉 FastAPI / Vue / Streamlit 等快速开发框架； （4）熟悉 SQL、数据清洗、实验数据分析； （5）有设备日志分析、异常检测、时序建模经验者优先。 5.岗位产出目标（实习期） 入职 3 个月内完成以下至少一项成果： 工艺知识问答系统上线 曝光/刻蚀参数自动检查系统上线 胶缩数据库 + 推荐模型上线 Trouble-shooting 智能助手上线 工艺文献自动搜索系统上线",https://www.zhipin.com/job_detail/a515040853490eb20nd83929F1pW.html
AI平台工程师-K,15-25K,珠海·香洲区·唐家湾,珠海,,,,"岗位职责： 1.负责大模型相关应用的开发、测试与维护 2.实施提示工程、RAG流⽔线及AI智能体开发 3.将AI能⼒集成到现有应⽤或服务中 4.参与瀑布或敏捷开发流程，完成软件交付 5.协助使用生成式AI完成遗留系统现代化改造任务 岗位要求： 1.3年以上⼤型AI系统开发经验 2.熟悉大模型应用开发，如DeepSeek、Gemini、Qwen等 3.熟悉TensorFlow、PyTorch等框架 4.熟悉AWS或阿里云等云平台 5.具备提示工程、RAG、AI Agent项目经验者优先 6.熟悉Python、Java等编程语言 7.有使用生成式AI完成遗留系统改造经验者优先 8.具备英文读写能力，会粤语者优先",https://www.zhipin.com/job_detail/dfbcc4714e5473790nB43Ni9GFVQ.html
Al Agent工程师（Claude Code / Codex)-K,10-15K,珠海·香洲区·拱北,珠海,,,,"职位详情 G… 1. 日常重度使用 Claude Code、OpenAI Codex 进行全流程开发，覆盖功能开发、模块重构、问题修复、代码优化、项目迭代。 2.独⽴输出Coding Plan（编码开发规划），完成需求拆解、⽂件规划、任务拆分、执⾏顺序设计，主导AI编程全流程落地。 3. 依托AI工具独立完成整段、整模块、整项⽬开发落地，校验、优化AI生成代码，保障代码质量、项目稳定性与交付进度。 4. 解决AI编程过程中的逻辑偏差、代码漏洞、适配异常等问题，持续优化AI开发效率与落地成功率。 5.沉淀AI编程Coding Plan方法论与工具使用经验，规范团队AI开发流程，助力团队研发效能提升。 任职要求 1.1-3年软件开发经验，具备扎实的工程开发基础和代码校验、问题排查能力。 2. 拥有大量、长期的 Claude Code / OpenAI Codex 实战使用经验，非浅层体验，熟练掌握AI编程Agent的完整使用逻辑。 3. 熟练掌握 Coding Plan 规划能力，能够自主拆解复杂开发任务、制定项目开发方案，指挥AI完成规模化开发。 4. 具备AI独立落地开发能力，可借助AI独立完成整功能、整模块、中小型项目的完整开发与交付。 5. 具备良好的代码审美与工程思维，能甄别、修复、优化Al产出代码，规避幻觉问题，保障代码可直接投产使用。 加分项 1. 有完整依托Claude Code、Codex从零落地项目、大规模代码重构经验。 2.具备成熟的AI编程工作流、Coding Plan模板沉淀经验。",https://www.zhipin.com/job_detail/ab78081fca7476a70nBy2t26EFZS.html
AI Agent 产品经理（ToB方向）-K,10-15K,珠海·香洲区·横琴,珠海,,,,"岗位职责 1. 负责ToB场景AI Agent产品全生命周期管理，聚焦业务落地，对产品实际业务价值负责。 2. 调研企业客户核心业务场景（销售、市场、供应链等），将业务流程抽象为AI Agent可执行任务流 3. 基于大模型设计AI Agent⽅案，负责Prompt迭代、Skill拆解编排、⼯具调⽤策略及执行流程，确保方案可落地复⽤。 4. 协同研发团队，清晰传递需求与业务逻辑，明确技术边界，推进需求落地及产品按期交付上线。 5. 搭建AI Agent核心指标体系（任务成功率、完成时长等），通过数据驱动产品迭代，提升落地效果与用户体验。 6. 设计并落地数据标签、AI Agent输出结果的质检机制，保障输出准确合规。 7. 跟踪AI技术前沿，结合业务挖掘可落地创新场景，沉淀产品方法论，支撑业务规模化。 任职要求 1. 本科及以上学历，3-5年ToB产品经验，至少1年AI Agent实操经验（需提供可验证落地案例及成果）。 2. 熟悉AI技术与产品，理解大模型原理，掌握Prompt工程、Agent框架等核心技术，能与研发、算法高效同频沟通。 3. 理解AI Agent核心逻辑（任务规划、工具调用、记忆机制等），能结合业务场景灵活应用。 4. 具备至少一类相关项目经验：AI Agent产品、企业智能助手、AI流程自动化产品。 5. 具备较强业务抽象与需求拆解能力，能将模糊需求转化为产品方案，拆解复杂任务为Agent可执行流程。 6. 结果导向、务实严谨，平衡技术探索与落地交付，具备数据驱动思维，接受高频迭代试错。 7. 加分项：有情报类数据产品经验（企业情报、舆情、行业分析等）；有数据治理、标注、质检经验，能独立设计质检规则与流程。",https://www.zhipin.com/job_detail/9ad7eae72e084dd50ndy2ty-GVVU.html
AIoT 研发工程师-K,6-8K,珠海,珠海,,,,"公司正在研发 AI 应用系统、植物仿真系统、智能温室种植调控系统，目标是将大模型、软件系统、传感器数据、植物生长模型和温室设备控制结合，应⽤于真实温室⼤棚⽣产场景。 我们希望招聘一名专业基础扎实、愿意长期钻研技术难题的研发人才。可以没有丰富的⼯作经验，但需要具备较强的学习能力、责任心和工程思维。公司会给予成长时间和核心项目机会。 岗位职责： 1.参与 AI 应用系统、植物仿真系统、智能温室调控系统的研发。 2.阅读和维护已有代码库，学习系统结构，逐步承担 bug 修复、功能开发和模块优化工作。 3.参与 LLM 应用开发，包括 prompt、RAG、知识库、工具调用、评估和结果校验等。 4.参与温室数据系统建设，处理温度、湿度、光照、CO2、水肥、土壤、作物生长等数据。 5.协助完成传感器、网关、控制设备与软件系统的对接。 6.在技术负责人或外部专家指导下，逐步参与系统架构设计、模块拆分、技术选型和工程落地。 7.与农艺专家、设备厂家、现场人员沟通，把实际种植需求转化为软件功能。 8.持续学习 AI、物联网、软件工程和智能温室相关知识，逐步成长为公司核心研发骨干。 任职要求： 1.本科及以上学历，计算机、软件工程、人工智能、自动化、物联网、电子信息、农业工程等相关专业优先。 2.Python 基础扎实，能独立写程序，理解基本的数据结构、函数、类、接口、异常处理和代码调试。 3.具备良好的代码阅读能力，愿意进入已有代码库中理解逻辑、定位问题、修复 bug。 4.对 AI 应用开发有兴趣，了解或愿意深入学习 LLM、prompt、RAG、embedding、eval、Agent 等技术。 5.对物联网、传感器、自动化控制、智能温室或农业科技有兴趣，愿意接触真实设备和现场问题。 6.有较强的学习能力和钻研精神，做事认真可靠，有责任心，能长期投入一个复杂系统的研发。 加分项： 1.做过 Python 项目、Web 后端项目、AI 应用项目、爬虫、数据分析、自动化脚本等。 2.用过 FastAPI、Flask、Django、PostgreSQL、MySQL、Docker、Linux、Git。 3.了解 OpenAI API、国产大模型 API、LangChain、LlamaIndex、向量数据库等。 4.接触过 MQTT、Modbus、PLC、单片机、树莓派、传感器或边缘设备。 5.有农业、温室、植物生长、环境控制相关项目或兴趣。 6.有长期个人项目、开源项目、竞赛项目、毕业设计等能体现钻研能力的作品。",https://www.zhipin.com/job_detail/840833c05f6cc4f80nB-3926EFBR.html
AI Agent技术工程师（2026届） (MJ000099)-K·薪,11-13K·13薪,珠海·香洲区·唐家湾,珠海,,,,"工作地点： 珠海 工作经验要求： 2026届本科或以上 英语要求：CET-4或以上     岗位定位：负责AI Agent系统的开发及优化。  核心职责  •     RAG管道工程：开发并扩展检索增强⽣成（RAG）架构，集成⼤语⾔模型（LLM）API、向量数据库、检索机制及嵌入模型，实现高效知识检索。 •     多智能体协同：设计⽀持多智能体交互的基础设施（如LangChain/LangGraph、AutoGen/A2A/MCP协议），实现高效消息传递、分布式决策与自主协作。 •     知识库开发：设计、实施和维护结构化与非结构化知识库（含知识图谱、本体论、文本嵌入技术），通过领域专用数据与自动化索引提升LLM输出质量。 •     数据库与存储：运用向量数据库、NoSQL数据库及图数据库，支撑高效知识检索与AI工作负载。 •     协作开发：与AI研究员、ML工程师及软件开发人员协作，确保AI模型高效集成至生产环境。 •     提示(Prompt)工程专长：设计清晰结构化的提示词，通过迭代优化及少样本学习（Few-Shot）、思维链（Chain-of-Thought）等高级技术提升AI响应准确性与逻辑连贯性。 •     安全与合规：确保AI部署符合数据隐私、安全及合规性最佳实践。 •     全栈开发：前端开发经验：使用React等主流框架构建产品原型或核心功能模块。后端开发经验：基于Python设计接口及管理数据库，参与微服务或容器化项目（Docker/K8s）。 •     AI工具应用与协作：高效利用现有AI工具（如ChatGPT、GitHub Copilot、Cursor）提升开发效率。与设计、产品及运营团队紧密协作，灵活应用前沿AI工具与技术加速产品迭代周期。持续跟踪大模型/AI领域新趋势、论文及产品动态。通过快速概念验证（PoC）与最小可行产品（MVP）验证产品创新点及技术可行性。 •     数据架构：使用行业标准工具（如Hadoop、Spark、AWS/Azure云服务）设计和构建本地或云端的弹性数据基础设施。 •     数据工程：开发并维护数据管道，实现异构数据源（包括消息队列、关系型数据库、实时流等）的清洗、转换和聚合。 •     质量保障：通过建立数据治理框架确保数据完整性和可扩展性，设置自动化质量检查机制，监控管道性能并维护数据准确性和可访问性。 任职要求 •     教育背景：计算机科学、数学、统计学或相关领域本科或以上。 •     技术能力 1)     精通Python、Java、Scala编程，具备前端框架（React、NextJS等）开发经验。 2)     熟练掌握至少一种向量数据库（如PGVector、Milvus）以及图数据库（如Neo4j、ArrangoDB）, 具备数据查询性能优化实战经验。 3)     具备MCP Sever API 开发经验，能够提升接口高并发处理性能。 4)     具备2-3 年及以上机器学习与人工智能领域实际开发经验，拥有AI 代理相关项目开发背景者优先考虑。 5)     拥有自主AI 代理系统核心功能的设计与开发实战经验（例如Agentic AI 相关项目落地经历）。 6)     擅长利用结构化/半结构化数据优化LLM输出质量。 7)     熟悉大语言模型（LLM）及自然语言处理技术。 •     框架与工具 1)     深入理解AI代理生态，掌握AutoGen、LangChain/Langgraph、MCP等框架，可独立完成AI项目搭建。 2)     精通提示词设计与优化技术（如思维链COT、树状思维TOT等），能在保障效率的前提下提升LLM输出质量。 3)     熟练使用Git Extension等代码管理工具, 具备Spark批流数据处理与CI/CD全流程开发经验（含Git/Docker/k8s应用）。 4)     了解流处理系统（Kafka/RabbitMQ）及数据库设计原则。 5)     熟悉微软Azure、阿里云等云平台及分布式计算相关技术。 •     软技能与语言 1)     工作积极主动，具备优秀的跨团队协作能力及批判性思维。 2)     具备较强的自学能力，擅长利用各类资料查询工具，独立完成POC验证及方案设计。 3)     能够精准理解项目需求，独立完成方案设计、技术开发及高质量交付。 4)     英语四级，流利的中英文书面和口语沟通能力（粤语为加分项）。",https://www.zhipin.com/job_detail/cc22793b491e1f27031_2dy6FFFQ.html
高级全栈工程师-K,8-13K,珠海,珠海,,,,"岗位职责： 1.负责公司 AI 产品及业务系统的设计、开发与维护； 2.负责前后端一体化开发，包括 Web 管理后台、业务系统及 AI 应用平台建设； 3.基于大语言模型（LLM）开发智能问答、知识库、Agent、⼯作流等 AI 应⽤； 4.负责 AI 能⼒与业务系统的集成，包括 Prompt Engineering、RAG、Function Calling、Agent 等技术落地； 5.参与系统架构设计与技术选型，持续优化系统性能、稳定性和用户体验； 负责数据库设计、接口设计及系统安全优化； 任职要求： 1.熟练使用 Vue3、TypeScript； 2.具备组件化开发经验，能够独⽴完成复杂业务页面开发； 3.熟练掌握 Python 和 Node.js； 4.熟悉 RESTful API 设计规范； 5.了解 Redis 等 NoSQL 数据库优先。 6.熟悉 OpenAI、DeepSeek、通义千问、Claude 等大模型接口调用； 7.熟悉 LangChain、LangGraph、agno 等 AI 应用开发框架； 8.熟悉 Linux 环境开发部署； 9.熟悉 Git 版本管理； 加分项： 1.有 AI Agent 项目落地经验； 2.有 MCP、Function Calling 开发经验； 3.有知识图谱项目经验； 4.有企业级 SaaS 产品开发经验；",https://www.zhipin.com/job_detail/03f5fcdcc67bec3c0nB83d67FFFY.html
高级AI Agent工程师-K·薪,60-90K·14薪,珠海·香洲区·横琴,珠海,,,,"我们正在把复杂的教育内容生产流程 Agent 化，从教学目标到可编辑稿件，希望找到真正做过 production agent 的工程师，一起建设可上线、可评估、可回放、可持续优化的 Agent 系统。 岗位职责 1. 主导 Agent 能⼒从 Inline Copilot、任务级 Agent、⾃主产课 Pipeline 到多 Agent 协作的技术⽅案设计。 2. 负责 agent runtime、tool calling、provider routing、human-in-the-loop 等核心能力建设。 3. 设计从教学⽬标到可编辑稿件的完整 Agent workflow。 4. 建设 Agent 评估集、回归测试、debug replay 和 stale detection 机制。 5. 在成本、延迟和质量之间做工程权衡，持续优化生产环境效果。 6. 与前端架构师协作落地 Copilot，与后端架构师协作落地任务级 Agent。 任职要求 1. 4 年以上工程经验，Go、TypeScript、Python 背景不限。 2. 至少 1-2 年深度 LLM 应用工程经验。 3. 熟悉 function calling、tool use 和 multi-step workflow。 4. 熟悉 Coze、扣子、Dify、AutoGen、n8n、OpenAI Codex、Claude Code 或自研 agent runtime 中至少一种，并理解其编排思路。 5. 做过 prompt engineering、模型路由、成本控制和 fallback 设计。 6. 做过 LLM 应用评估集或 regression 流程。 7. 做过至少一个真实上线的 production agent。 加分项 1. 深度参与过 agent runtime 或 workflow engine。 2. 做过教育内容生成、知识库问答、内容审核、长文档生成、代码生成或创作工具类 agent。 3. 做过 agent 回放调试平台、工具调用协议或多 agent 协作框架。 4. 对教育或创作内容的质量标准、合规边界有认知。 岗位亮点 1. 真实 Production Agent 机会，不是 demo 或 PoC。 2. 场景足够深，涉及专业度、合规、质量和成本多维约束。 3. 可以参与决定 agent runtime、eval 和模型路由的架构方向。",https://www.zhipin.com/job_detail/abda59b881e5e5e60nB82t26FFFW.html
